                         histogram | ############ (12)
                        justlength | ######### (9)
                              word | ######## (8)
                             words | ##### (5)
                               def | #### (4)
                            parser | #### (4)
                          filename | #### (4)
                              args | #### (4)
                                if | #### (4)
                                in | #### (4)
                                 1 | #### (4)
                                re | ### (3)
                           outfile | ### (3)
                         inputfile | ### (3)
                        wordlength | ### (3)
                        outputfile | ### (3)
                              item | ### (3)
                             count | ### (3)
                              line | ### (3)
                            import | ## (2)
                          argparse | ## (2)
                              main | ## (2)
                      add_argument | ## (2)
                            infile | ## (2)
                              help | ## (2)
                            output | ## (2)
                     inputfilename | ## (2)
                    outputfilename | ## (2)
                              else | ## (2)
                  getwordsfromfile | ## (2)
createhistogramandgetjustification | ## (2)
              writehistogramtofile | ## (2)
                              open | ## (2)
                         paragraph | ## (2)
                             close | ## (2)
                            return | ## (2)
                              list | ## (2)
                                 w | ## (2)
                                 0 | ## (2)
                               for | ## (2)
                             value | ## (2)
                               key | ## (2)
                                 x | ## (2)
                           filname | ## (2)
                               usr | # (1)
                               bin | # (1)
                           python3 | # (1)
                    argumentparser | # (1)
                             input | # (1)
                             nargs | # (1)
                        parse_args | # (1)
                               txt | # (1)
                                 r | # (1)
                              read | # (1)
                           findall | # (1)
                           compile | # (1)
                             lower | # (1)
                            equals | # (1)
                                to | # (1)
                               the | # (1)
                               max | # (1)
                            length | # (1)
                               len | # (1)
                             sorts | # (1)
                                by | # (1)
                               and | # (1)
                           returns | # (1)
                                 a | # (1)
                                of | # (1)
                            tuples | # (1)
                            sorted | # (1)
                             items | # (1)
                            lambda | # (1)
                           reverse | # (1)
                              true | # (1)
                                 f | # (1)
                             rjust | # (1)
                               chr | # (1)
                                35 | # (1)
                                 n | # (1)
                             write | # (1)
                             print | # (1)
                               end | # (1)
                          __name__ | # (1)
                          __main__ | # (1)
